"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","44A0111-28-2-DS-ND","44A0111-28-2","44A0111-28-2 FEET","","5","0","0.65000","3.25"
"2","10","455-2890-ND","ACHLR-02V-S","CONN RCPT HSG 2POS 1.20MM","","10","0","0.15200","1.52"
"3","25","455-2914-1-ND","SACHL-003G-P0.2","CONN FML SKT 28-30AWG CRIMP GOLD","","25","0","0.06440","1.61"
"4","1","1568-PRT-17258-ND","PRT-17258","FLEXIBLE QWIIC CABLE - 200MM","","1","0","1.56000","1.56"
"5","2","1528-4483-ND","4483","ARDUINO MKR TO STEMMA QT / QWIIC","","2","0","1.50000","3.00"
"6","1","1568-PRT-17257-ND","PRT-17257","FLEXIBLE QWIIC CABLE - 500MM","","1","0","2.19000","2.19"
"7","1","899-1061-ND","8.08.91 J-LINK EDU MINI","J-LINK EDU MINI","","0","1","20.35000","20.35"
"8","50","490-10475-1-ND","GRM188R61A106ME69D","CAP CER 10UF 10V X5R 0603","C5 C6 C10 C11 C12","50","0","0.07960","3.98"
"9","20","1276-1183-1-ND","CL10A225KQ8NNNC","CAP CER 2.2UF 6.3V X5R 0603","C3 C9 C13","20","0","0.04400","0.88"
"10","10","732-7898-1-ND","885012106001","CAP CER 0.47UF 6.3V X5R 0603","C4","10","0","0.07200","0.72"
"11","50","478-06036C104KAT4ACT-ND","06036C104KAT4A","CAP CER 0.1UF 6.3V X7R 0603","C1 C7 C8 C14","50","0","0.02080","1.04"
"12","10","SML-D12M1WT86CT-ND","SML-D12M1WT86","LED YLW/GREEN DIFFUSED 1608 SMD","D1","10","0","0.11500","1.15"
"13","6","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 24P SMD RA","J1","6","0","0.85000","5.10"
"14","6","455-1804-1-ND","SM04B-SRSS-TB(LF)(SN)","CONN HEADER SMD R/A 4POS 1MM","J3","6","0","0.55000","3.30"
"15","1","TC2050-IDC-NL-ND","TC2050-IDC-NL","CBL PLUG-OF-NAILS 10-PIN","J4","1","0","39.00000","39.00"
"16","6","455-2896-1-ND","BM02B-ACHLKS-GAN-ETF(LF)(SN)","CONN HEADER SMD R/A 2POS 1.2MM","J5","6","0","0.59000","3.54"
"17","15","1292-WR06X1001FTLCT-ND","WR06X1001FTL","RES 1K OHM 1% 1/10W 0603","R5 R11","15","0","0.01300","0.20"
"18","10","RMCF0603FT10K0CT-ND","RMCF0603FT10K0","RES 10K OHM 1% 1/10W 0603","R12","10","0","0.01700","0.17"
"19","180","RMCF0603FT100KCT-ND","RMCF0603FT100K","RES 100K OHM 1% 1/10W 0603","R6 R7 R10 R13 R14 R15 R16 R17 R18 R19 R20 R21 R2","180","0","0.00680","1.22"
"20","15","RMCF0603FT5K10CT-ND","RMCF0603FT5K10","RES 5.1K OHM 1% 1/10W 0603","R1 R2","15","0","0.01700","0.26"
"21","15","118-CR0603-FX-22R0ELFCT-ND","CR0603-FX-22R0ELF","RES SMD 22 OHM 1% 1/10W 0603","R3 R4","15","0","0.01700","0.26"
"22","15","RMCF0603FT2K20CT-ND","RMCF0603FT2K20","RES 2.2K OHM 1% 1/10W 0603","R8 R9","15","0","0.01700","0.26"
"23","6","CKN10284CT-ND","KMR231NG ULC LFS","SWITCH TACTILE SPST-NO 0.05A 32V","SW1","6","0","0.51000","3.06"
"24","6","563-1102-1-ND","CUS-12TB","SWITCH SLIDE SPDT 300MA 4V","SW2","6","0","0.70000","4.20"
"25","10","160-1445-1-ND","LTST-C191KFKT","LED ORANGE CLEAR SMD","D3","10","0","0.13200","1.32"
"26","100","296-DRV8601NMBRCT-ND","DRV8601NMBR","IC MOTOR DRIVER 2.5V-5.5V 8BGA","U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U2","100","0","0.69830","69.83"
"27","70","1670-1090-ND","G1040001D","VIBRATION LRA MOTOR 170HZ 1.5G","","70","0","2.31720","162.20"
"28","100","1276-2066-1-ND","CL10B472KB8SFNC","CAP CER 4700PF 50V X7R 0603","C2 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C","100","0","0.01190","1.19"
